ts_code,trade_date,open,high,low,close,change,pct_change,vol,amount,amplitude,exchange_rate
688777,20240401,46.63,47.15,46.2,46.94,0.41,0.88,99563,465679417.0,2.04,1.28
688777,20240402,46.95,46.97,45.62,46.23,-0.71,-1.51,99754,460512577.0,2.88,1.28
688777,20240403,46.02,46.81,45.72,45.72,-0.51,-1.1,79173,365375264.0,2.36,1.02
688777,20240408,45.45,45.63,44.55,44.85,-0.87,-1.9,82980,373357595.0,2.36,1.07
688777,20240409,44.85,44.98,43.0,44.14,-0.71,-1.58,119397,523080249.0,4.41,1.53
688777,20240410,44.3,45.16,43.45,43.8,-0.34,-0.77,97850,433847177.0,3.87,1.26
688777,20240411,43.99,45.1,43.76,43.88,0.08,0.18,97235,430542633.0,3.06,1.25
688777,20240412,44.13,45.15,44.1,44.6,0.72,1.64,97061,433370782.0,2.39,1.25
688777,20240415,44.64,45.38,44.05,44.69,0.09,0.2,128119,573499458.0,2.98,1.65
688777,20240416,44.55,45.55,44.0,44.42,-0.27,-0.6,111044,497104873.0,3.47,1.43
688777,20240417,44.97,46.98,44.78,46.98,2.56,5.76,194752,899740380.0,4.95,2.5
688777,20240418,46.6,47.39,46.3,46.88,-0.1,-0.21,148721,695750767.0,2.32,1.91
688777,20240419,46.52,48.1,46.12,47.54,0.66,1.41,149551,703443137.0,4.22,1.92
688777,20240422,47.0,47.87,46.3,46.66,-0.88,-1.85,112203,528201567.0,3.3,1.44
688777,20240423,46.8,47.31,46.4,46.81,0.15,0.32,86720,406788536.0,1.95,1.11
688777,20240424,47.14,47.99,46.84,47.58,0.77,1.64,141345,671040518.0,2.46,1.82
688777,20240425,47.28,48.59,47.25,48.44,0.86,1.81,125339,604011801.0,2.82,1.61
688777,20240426,48.21,48.98,47.92,48.5,0.06,0.12,151761,735633886.0,2.19,1.95
688777,20240429,49.0,49.2,47.88,48.62,0.12,0.25,121122,587376037.0,2.72,1.56
688777,20240430,48.42,48.81,47.5,47.67,-0.95,-1.95,108307,519837296.0,2.69,1.39
688777,20240506,48.27,49.67,48.27,49.25,1.58,3.31,146281,719583286.0,2.94,1.88
688777,20240507,49.0,49.38,48.25,48.33,-0.92,-1.87,96455,470138961.0,2.29,1.24
688777,20240508,48.1,48.2,46.8,46.8,-1.53,-3.17,121821,575806900.0,2.9,1.57
688777,20240509,46.8,47.17,46.47,47.07,0.27,0.58,118246,554413741.0,1.5,1.52
688777,20240510,46.99,47.17,45.72,46.12,-0.95,-2.02,105101,485855163.0,3.08,1.35
688777,20240513,45.98,46.58,45.52,46.31,0.19,0.41,75512,349536657.0,2.3,0.97
688777,20240514,46.48,46.99,45.75,45.97,-0.34,-0.73,72965,337002299.0,2.68,0.94
688777,20240515,45.84,46.19,45.07,45.22,-0.75,-1.63,59496,271279786.0,2.44,0.76
688777,20240516,45.46,45.58,44.95,45.1,-0.12,-0.27,66338,300023369.0,1.39,0.85
688777,20240517,45.1,46.33,45.0,46.32,1.22,2.71,85623,391525744.0,2.95,1.1
688777,20240520,46.5,46.5,38.7,42.35,-3.97,-8.57,366959,1558595206.0,16.84,4.72
688777,20240521,42.3,44.14,42.18,43.66,1.31,3.09,180414,783991976.0,4.63,2.32
688777,20240522,43.37,43.6,42.26,43.25,-0.41,-0.94,88434,381748851.0,3.07,1.14
688777,20240523,43.38,43.6,42.26,42.4,-0.85,-1.97,66977,286272189.0,3.1,0.86
688777,20240524,42.41,42.59,41.75,41.79,-0.61,-1.44,60732,255938478.0,1.98,0.78
688777,20240527,42.04,43.46,41.83,43.35,1.56,3.73,69570,296836693.0,3.9,0.89
688777,20240528,43.0,43.08,41.85,41.96,-1.39,-3.21,66602,281953214.0,2.84,0.86
688777,20240529,41.99,42.35,41.79,42.05,0.09,0.21,38007,159825358.0,1.33,0.49
688777,20240530,41.48,42.55,41.22,42.17,0.12,0.29,57944,244135785.0,3.16,0.74
688777,20240531,42.35,43.11,42.15,42.65,0.48,1.14,53135,227096814.0,2.28,0.68
688777,20240603,43.16,45.63,43.16,44.3,1.65,3.87,164798,732385552.0,5.79,2.12
688777,20240604,44.88,44.94,44.0,44.15,-0.15,-0.34,68240,302936314.0,2.12,0.88
688777,20240605,44.1,44.59,43.8,43.95,-0.2,-0.45,64664,285623555.0,1.79,0.83
688777,20240606,43.95,44.5,43.5,44.14,0.19,0.43,62777,276749975.0,2.28,0.81
688777,20240607,44.06,44.39,42.8,43.22,-0.92,-2.08,63819,277357768.0,3.6,0.82
688777,20240611,43.3,43.92,42.78,43.54,0.32,0.74,70782,307639856.0,2.64,0.91
688777,20240612,43.8,44.48,43.55,44.14,0.6,1.38,73934,325959591.0,2.14,0.95
688777,20240613,44.55,45.0,44.0,44.49,0.35,0.79,95392,424694752.0,2.27,1.23
688777,20240614,44.49,44.96,40.9,42.16,-2.33,-5.24,321756,1365853261.0,9.13,4.14
688777,20240617,41.44,42.3,40.94,41.38,-0.78,-1.85,129799,540845560.0,3.23,1.67
688777,20240618,41.0,41.53,39.91,40.02,-1.36,-3.29,187489,758595121.0,3.91,2.41
688777,20240619,40.17,40.33,38.65,38.65,-1.37,-3.42,156018,610833573.0,4.2,2.01
688777,20240620,39.39,39.97,39.01,39.3,0.65,1.68,110161,435047542.0,2.48,1.42
688777,20240621,39.24,39.45,38.7,39.31,0.01,0.03,72471,283192781.0,1.91,0.93
688777,20240624,38.9,39.65,38.23,38.4,-0.91,-2.31,76783,298950064.0,3.61,0.99
